Non-MAS Regex	MAS
# Comments are stripped from this file in the code
# AMD x86_64
Opteron	K8
Opteron 23[0-9]{2}	K10
Opteron 41[0-9]{2}	K10
Opteron 61[0-9]{2}	K10
Opteron 62[0-9]{2}	Bulldozer
Opteron 63[0-9]{2}	Piledriver
Opteron O-6376	Piledriver
Opteron .* Core	K8
Hygon Dhyana	Zen
# Cavium
Cavium ThunderX2 CN99[0-9]+-[0-9]+	Vulcan
# Fujitsu ARM
(?:Fujitsu )?A64FX	SBSA
# Intel EM64T
Xeon [A-Z]55[0-9]{2}	Intel Nehalem
Xeon [A-Z]56[0-9]{2}	Intel Westmere
Xeon E7-4870	Intel Westmere
# Intel IA-64
Itanium ?2(?: Montecito)?(?: Dual Core)?	Montecito
# Intel MIC
Intel Xeon Phi 5120D	Many Integrated Cores
# Intel Xeon Phi
Intel Xeon Phi 72[0-9]{2}[A-Z]?	Knights Landing
# Others/ShenWei
(?:Sunway|ShenWei)(?: processor)? SW1[0-9]{3}	SW-1
(?:Sunway|ShenWei)(?: processor)? SW2[0-9]{3}	SW-2
(?:Sunway|ShenWei)(?: processor)? SW3[0-9]{3}	SW-3
(?:Sunway|ShenWei)(?: processor)? SW26010	SW26010
# Power
(?:IBM )?POWER5	POWER5
(?:IBM )?Power5	POWER5
(?:IBM )?POWER6	POWER6
(?:IBM )?Power6	POWER6
(?:IBM )?POWER7	POWER7
(?:IBM )?Power7	POWER7
(?:IBM )?POWER8	POWER8
(?:IBM )?Power8	POWER8
(?:IBM )?POWER8+	POWER8+
(?:IBM )?Power8+	POWER8+
(?:IBM )?POWER9	POWER9
(?:IBM )?Power9	POWER9
(?:IBM )?POWER10	POWER10
(?:IBM )?Power10	POWER10
(?:IBM )?PowerPC 4[0-9]{2}	PowerPC 4xx
(?:IBM )?PowerPC 6[0-9]{2}	PowerPC 6xx
(?:IBM )?PowerPC 7[0-9]{2}	PowerPC 7xx
(?:IBM )?PowerPC 970	PowerPC 970
(?:IBM )?PowerXCell 8i	CBEA
# PowerPC
(?:Power )?BQC	IBM A2
# Sparc
SPARC64 VII	SPARC64 VII
SPARC64 VIIIfx	SPARC64 VIIIfx
SPARC64 IXfx	SPARC64 IXfx
SPARC64 XIfx	SPARC64 XIfx
# ThunderX2
Marvell ThunderX2 CN99[0-9]{2}-[0-9]{4}	Vulcan
